시군명,2016년도 지점, 2016년 합계 , 2016년 내국인 , 2016년 외국인 , 2015년도 지점 , 2015년 합계 , 2015년 내국인 , 2015년 외국인 , 2014년도 지점 , 2014년 합계 , 2014년 내국인 , 2014년 외국인 , 2013년도 지점 , 2013년 합계 , 2013년 내국인 , 2013년 외국인 
창원시,17,2535433,2533173,2260,16,2519188,2518579,609,9,1659096,1658066,1030,5,900064,897536,2528
진주시,4,2538173,2538173,,4,1269452,1269433,19,4,2218169,2215619,2550,4,5661206,5635528,25678
통영시,14,6494724,6465619,29105,14,6601740,6565997,35743,12,3727474,3650163,77311,8,3380640,3371896,8744
사천시,3,454491,454491,,3,448483,448483,,4,545594,544905,689,2,400094,399431,663
김해시,13,4427858,4424329,3529,13,4131072,4127076,3996,12,3906998,3901807,5191,8,2181985,2174040,7945
밀양시,7,699451,699451,,3,434107,434107,,3,949744,949744,,2,180284,179604,680
거제시,34,5349492,5336037,13455,34,5536436,5525295,11141,33,4861103,4850522,10581,21,4900485,4874963,25522
양산시,12,5617369,5604529,12840,12,5380302,5360611,19691,12,5457209,5436399,20810,12,5653231,5590643,62588
의령군,1,159242,159242,,1,156343,156343,,1,125525,125525,,,,,
함안군,2,188929,188929,,2,216306,216306,,,,,,,,,
창녕군,6,529272,526562,2710,6,591710,590972,738,5,422164,421851,313,2,180296,180036,260
고성군,4,1740951,1690539,50412,4,789724,789704,20,4,648428,648428,,,,,
남해군,4,712837,712816,21,4,734094,733738,356,3,511136,511136,,3,450921,447624,3297
하동군,5,2411942,2404522,7420,5,2402606,2396131,6475,3,873422,871457,1965,3,1768118,1763748,4370
산청군,6,663817,663731,86,6,528606,527463,1143,6,518634,518549,85,6,2594152,2521548,72604
함양군,2,1031041,1031041,,2,1273922,1273922,,2,590508,590508,,1,104938,104938,
거창군,11,410499,409920,579,13,440349,439697,652,13,427729,424855,2874,13,653014,639756,13258
합천군,4,1321448,1297470,23978,4,913430,894658,18772,4,1085783,1063904,21879,4,1960952,1862647,98305
