"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
DTC섬유박물관,지하1층 T6,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 동구 팔공로 227,대구광역시 동구 봉무동  1560-1,대구환경공단,053-605-8060,35.9193160,128.6401350,2019-06-27
"갓바위공영3주차장",입구 우측,대구광역시,연중무휴,07:00,20:00,Y,N,,3,0,Y,대구광역시 동구 갓바위로 227,대구광역시 동구 진인동  123-74,대구환경공단,053-605-8060,35.9708814,128.7261682,2019-06-27
"갓바위공영5주차장",입구 우측,대구광역시,연중무휴,07:00,20:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 동구 진인동 123-38,대구광역시 동구 진인동  123-38,대구환경공단,053-605-8060,35.969378,128.726065,2019-06-27
"국채보상운동기념공원주차장",지하 1층 우측,대구광역시,연중무휴,00:00,00:00,Y,N,,3,0,Y,대구광역시 중구 공평로10길 25,대구광역시 중구 동인동2가  42-1,대구환경공단,053-605-8060,35.8684401397,128.6017153045,2019-06-27
"논공읍 논공공단출장소",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 달성군 논공읍 논공중앙로 33길 3,대구광역시 달성군 논공읍 북리 1-130,대구환경공단,053-605-8060,35.7300395355,128.4527811387,2019-06-27
"농수산물도매시장",4문 좌측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,Y,대구광역시 북구 매천로18길 34,대구광역시 북구 매천동  527-3,대구환경공단,053-605-8060,35.9028168,128.5430417,2019-06-27
"달서구청",입구 좌측,대구광역시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동  281,대구환경공단,053-605-8060,35.8297339,128.5326441,2019-06-27
"달서시장공영주차장",입구 좌측,대구광역시,연중무휴,00:00,00:00,Y,N,,2,0,Y,대구광역시 달서구 당산로 32,대구광역시 달서구 본리동  154-4,대구환경공단,053-605-8060,35.8401398,128.5450738,2019-06-27
"달성군청",입구 우측,대구광역시,연중무휴,00:00,00:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리  1313,대구환경공단,053-605-8060,35.7745414,128.4313244,2019-06-27
"대구과학관",입구 좌측,대구광역시,연중무휴,09:30,21:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,Y,대구광역시 달성군 유가면 테크노대로6길 20,대구광역시 달성군 유가면 상리  588,대구환경공단,053-605-8060,35.685199,128.465865,2019-06-27
