,name,address
0,Tesla 대구 이시아폴리스 수퍼차저,대구 동구 봉무동 1544
1,Tesla 대구 수성 수퍼차저,대구 수성구 수성못6길 18 대구수성아트스퀘어
2,수태골 공영주차장 전기차충전소,대구 동구 용수동 907-1
3,대구신서혁신LH천년나무10단지 전기차충전소,대구 동구 메디밸리로 18
4,파계사 공영주차장 전기차충전소,대구 동구 파계로 686
5,Tesla 대구 수퍼차저,대구 북구 엑스코로 10
6,대덕맨션2차 전기차충전소,대구 남구 앞산순환로 655
7,동화사(동화사 집단시설지구 씨네80 극장 출구 주차장) 전기차충전소,대구 동구 팔공산로 1184
8,코스트코 대구혁신도시점 전기차충전소,대구 동구 첨단로 10
9,연경지구LH뉴웰시티아파트 전기차충전소,대구 동구 지묘동 1352-2
10,관음동한양수정아파트 전기차충전소,대구 북구 구암로 17
11,시지두레타운 입주자대표회의 전기차충전소,대구 수성구 천을로 131
12,현풍백년도깨비시장 공영주차장 전기차충전소,대구 달성군 현풍읍 현풍로6길 5
13,3호선 칠곡차량기지 전기차충전소,대구 북구 동호동 136-1
14,서대구역남측주차장 전기차충전소,대구 서구 와룡로 527
15,우방신천지타운 전기차충전소,대구 수성구 청호로46길 16
16,중부소방서 전기차충전소,대구 중구 달구벌대로 1926 주차장
17,아우디 대구 서비스센터 전기차충전소,대구 서구 서대구로63길 5
18,대구수목원 제3주차장 전기차충전소,대구 달서구 대곡동 1041 우측
19,대구복합스포츠타운시민체육관 전기차충전소,대구 북구 고성로 191
20,SK텔레콤 대구태평사옥 전기차충전소,대구 서구 원대로 73 지하주차장 좌측벽면
21,두류공원 초급속 EV충전소 전기차충전소,대구 달서구 두류동 597-6 광장휴게소 뒤쪽 주차장
22,고향차밭골식당 전기차충전소,대구 동구 파계로138길 12
23,대구 파티마병원 동관 입구 주차장 전기차충전소,대구 동구 아양로 99
24,갓바위공영2주차장 전기차충전소,대구 동구 갓바위로 227
25,경북대학교병원(본원) 전기차충전소,대구 중구 동덕로 130
26,진천역대우이안아파트 전기차충전소,대구 달서구 진천로18길 10
27,만평네거리 북편 공영주차장 전기차충전소,대구 북구 노원동3가 252-3
