카테고리: 모든 카테고리

주,주식: (대한민국)
2020-01-26,32
2020-02-02,35
2020-02-09,34
2020-02-16,33
2020-02-23,37
2020-03-01,36
2020-03-08,54
2020-03-15,70
2020-03-22,72
2020-03-29,62
2020-04-05,56
2020-04-12,51
2020-04-19,52
2020-04-26,44
2020-05-03,42
2020-05-10,41
2020-05-17,45
2020-05-24,45
2020-05-31,50
2020-06-07,51
2020-06-14,48
2020-06-21,50
2020-06-28,46
2020-07-05,48
2020-07-12,48
2020-07-19,53
2020-07-26,55
2020-08-02,54
2020-08-09,54
2020-08-16,53
2020-08-23,54
2020-08-30,59
2020-09-06,56
2020-09-13,54
2020-09-20,52
2020-09-27,42
2020-10-04,46
2020-10-11,50
2020-10-18,49
2020-10-25,48
2020-11-01,47
2020-11-08,54
2020-11-15,57
2020-11-22,58
2020-11-29,61
2020-12-06,64
2020-12-13,59
2020-12-20,58
2020-12-27,60
2021-01-03,83
2021-01-10,100
2021-01-17,90
2021-01-24,97
2021-01-31,88
2021-02-07,75
2021-02-14,83
2021-02-21,80
2021-02-28,62
2021-03-07,68
2021-03-14,62
2021-03-21,58
2021-03-28,55
2021-04-04,58
2021-04-11,60
2021-04-18,57
2021-04-25,55
2021-05-02,50
2021-05-09,55
2021-05-16,49
2021-05-23,51
2021-05-30,52
2021-06-06,51
2021-06-13,49
2021-06-20,52
2021-06-27,50
2021-07-04,48
2021-07-11,44
2021-07-18,43
2021-07-25,43
2021-08-01,46
2021-08-08,51
2021-08-15,46
2021-08-22,47
2021-08-29,44
2021-09-05,46
2021-09-12,42
2021-09-19,37
2021-09-26,44
2021-10-03,42
2021-10-10,38
2021-10-17,38
2021-10-24,46
2021-10-31,48
2021-11-07,48
2021-11-14,46
2021-11-21,47
2021-11-28,42
2021-12-05,41
2021-12-12,38
2021-12-19,42
2021-12-26,41
2022-01-02,47
2022-01-09,44
2022-01-16,43
2022-01-23,47
2022-01-30,38
2022-02-06,40
2022-02-13,40
2022-02-20,42
2022-02-27,35
2022-03-06,35
2022-03-13,40
2022-03-20,38
2022-03-27,39
2022-04-03,39
2022-04-10,36
2022-04-17,38
2022-04-24,37
2022-05-01,34
2022-05-08,35
2022-05-15,35
2022-05-22,34
2022-05-29,28
2022-06-05,29
2022-06-12,36
2022-06-19,37
2022-06-26,33
2022-07-03,32
