연도,국가,교통사고건수,교통사고사망자,자동차1만대당 사망자,인구10만명당 사망자
2015,그리스,"11,440",793,0.8,7.3
2015,네덜랄드,-,621,0.6,3.7
2015,노르웨이,"4,563",117,0.3,2.3
2015,뉴질랜드,"9,737",319,0.9,6.9
2015,대한민국,"232,035","4,621",1.9,9.1
2015,덴마크,"2,853",178,-,3.1
2015,독일,"305,659","3,459",0.6,4.3
2015,라트비아,"3,692",188,-,-
2015,룩셈부르크,983,36,0.8,6.4
2015,멕시코,"16,994","3,490",-,-
2015,미국,"1,747,000","35,092",1.2,10.9
2015,벨기에,"40,303",732,-,6.5
2015,스웨덴,"14,672",259,0.4,2.7
2015,스위스,"17,736",253,0.4,3.1
2015,스페인,"97,756","1,689",0.5,3.6
2015,슬로바키아,"5,502",310,-,-
2015,슬로베니아,"6,585",120,0.9,5.8
2015,아이슬란드,912,16,0.6,4.9
2015,아일랜드,"5,831",162,-,3.5
2015,에스토니아,"1,392",61,-,-
2015,영국,"146,203","1,804",0.5,2.8
2015,오스트리아,"37,960",479,0.7,5.6
2015,이스라엘,"12,122",322,1,3.8
2015,이탈리아,"174,539","3,428",0.7,5.6
2015,일본,"536,899","4,885",0.5,3.8
2015,체코,"21,561",738,1.1,7
2015,칠레,-,"2,140",-,11.9
2015,캐나다,"118,404","1,858",-,-
2015,터키,"183,011","7,530",-,-
2015,포르투갈,"31,953",593,-,5.7
2015,폴란드,"32,967","2,938",1.1,7.7
2015,프랑스,"56,603","3,461",0.8,5.4
2015,핀란드,"5,185",270,0.6,4.9
2015,헝가리,"16,331",644,-,6.5
2015,호주,-,"1,205",0.7,5.1
2016,그리스,"11,318",824,0.9,7.6
2016,네덜랄드,-,629,0.6,3.7
2016,노르웨이,"4,374",135,0.3,2.6
2016,뉴질랜드,"9,968",328,0.9,7
2016,대한민국,"220,917","4,292",1.7,8.4
2016,덴마크,"2,882",211,0.7,3.7
2016,독일,"308,145","3,206",0.6,3.9
2016,라트비아,"3,792",158,1.9,8
2016,룩셈부르크,-,32,0.7,5.6
2016,멕시코,"12,553","3,371",1,2.6
2016,미국,-,"37,461",1.3,11.6
2016,벨기에,"40,123",670,0.9,5.9
2016,스웨덴,"14,051",270,0.4,2.7
2016,스위스,"17,577",216,0.4,2.6
2016,스페인,"102,362","1,810",0.5,3.9
2016,슬로바키아,"5,602",275,1,5.1
2016,슬로베니아,"6,495",130,0.9,6.3
2016,아이슬란드,986,18,0.6,5.4
2016,아일랜드,-,186,0.7,3.9
2016,에스토니아,"1,468",71,0.9,5.4
